Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-21,MG,Madagascar,AFRO,3,3,0,0
2020-03-22,MG,Madagascar,AFRO,0,3,0,0
2020-03-23,MG,Madagascar,AFRO,9,12,0,0
2020-03-24,MG,Madagascar,AFRO,1,13,0,0
2020-03-25,MG,Madagascar,AFRO,6,19,0,0
2020-03-26,MG,Madagascar,AFRO,0,19,0,0
2020-03-27,MG,Madagascar,AFRO,5,24,0,0
2020-03-28,MG,Madagascar,AFRO,2,26,0,0
2020-03-29,MG,Madagascar,AFRO,11,37,0,0
2020-03-30,MG,Madagascar,AFRO,7,44,0,0
2020-03-31,MG,Madagascar,AFRO,2,46,0,0
2020-04-01,MG,Madagascar,AFRO,7,53,0,0
2020-04-02,MG,Madagascar,AFRO,6,59,0,0
2020-04-03,MG,Madagascar,AFRO,6,65,0,0
2020-04-04,MG,Madagascar,AFRO,5,70,0,0
2020-04-05,MG,Madagascar,AFRO,0,70,0,0
2020-04-06,MG,Madagascar,AFRO,7,77,0,0
2020-04-07,MG,Madagascar,AFRO,8,85,0,0
2020-04-08,MG,Madagascar,AFRO,7,92,0,0
2020-04-09,MG,Madagascar,AFRO,1,93,0,0
2020-04-10,MG,Madagascar,AFRO,2,95,0,0
2020-04-11,MG,Madagascar,AFRO,0,95,0,0
2020-04-12,MG,Madagascar,AFRO,9,104,0,0
2020-04-13,MG,Madagascar,AFRO,2,106,0,0
2020-04-14,MG,Madagascar,AFRO,0,106,0,0
2020-04-15,MG,Madagascar,AFRO,4,110,0,0
2020-04-16,MG,Madagascar,AFRO,0,110,0,0
2020-04-17,MG,Madagascar,AFRO,7,117,0,0
2020-04-18,MG,Madagascar,AFRO,0,117,0,0
2020-04-19,MG,Madagascar,AFRO,3,120,0,0
2020-04-20,MG,Madagascar,AFRO,1,121,0,0
2020-04-21,MG,Madagascar,AFRO,0,121,0,0
2020-04-22,MG,Madagascar,AFRO,0,121,0,0
2020-04-23,MG,Madagascar,AFRO,0,121,0,0
2020-04-24,MG,Madagascar,AFRO,0,121,0,0
2020-04-25,MG,Madagascar,AFRO,1,122,0,0
2020-04-26,MG,Madagascar,AFRO,2,124,0,0
2020-04-27,MG,Madagascar,AFRO,4,128,0,0
2020-04-28,MG,Madagascar,AFRO,0,128,0,0
2020-04-29,MG,Madagascar,AFRO,0,128,0,0
2020-04-30,MG,Madagascar,AFRO,0,128,0,0
2020-05-01,MG,Madagascar,AFRO,4,132,0,0
2020-05-02,MG,Madagascar,AFRO,3,135,0,0
2020-05-03,MG,Madagascar,AFRO,14,149,0,0
2020-05-04,MG,Madagascar,AFRO,2,151,0,0
2020-05-05,MG,Madagascar,AFRO,7,158,0,0
2020-05-06,MG,Madagascar,AFRO,0,158,0,0
2020-05-07,MG,Madagascar,AFRO,35,193,0,0
2020-05-08,MG,Madagascar,AFRO,0,193,0,0
2020-05-09,MG,Madagascar,AFRO,-24,169,0,0
2020-05-10,MG,Madagascar,AFRO,0,169,0,0
2020-05-11,MG,Madagascar,AFRO,0,169,0,0
2020-05-12,MG,Madagascar,AFRO,17,186,0,0
2020-05-13,MG,Madagascar,AFRO,6,192,0,0
2020-05-14,MG,Madagascar,AFRO,20,212,0,0
2020-05-15,MG,Madagascar,AFRO,18,230,0,0
2020-05-16,MG,Madagascar,AFRO,8,238,0,0
2020-05-17,MG,Madagascar,AFRO,45,283,0,0
2020-05-18,MG,Madagascar,AFRO,21,304,1,1
2020-05-19,MG,Madagascar,AFRO,18,322,0,1
2020-05-20,MG,Madagascar,AFRO,4,326,1,2
2020-05-21,MG,Madagascar,AFRO,45,371,0,2
2020-05-22,MG,Madagascar,AFRO,34,405,0,2
2020-05-23,MG,Madagascar,AFRO,43,448,0,2
2020-05-24,MG,Madagascar,AFRO,40,488,0,2
2020-05-25,MG,Madagascar,AFRO,39,527,0,2
2020-05-26,MG,Madagascar,AFRO,15,542,0,2
2020-05-27,MG,Madagascar,AFRO,44,586,0,2
2020-05-28,MG,Madagascar,AFRO,26,612,0,2
2020-05-29,MG,Madagascar,AFRO,44,656,0,2
2020-05-30,MG,Madagascar,AFRO,42,698,3,5
2020-05-31,MG,Madagascar,AFRO,60,758,1,6
2020-06-01,MG,Madagascar,AFRO,13,771,0,6
2020-06-02,MG,Madagascar,AFRO,55,826,0,6
2020-06-03,MG,Madagascar,AFRO,19,845,0,6
2020-06-04,MG,Madagascar,AFRO,63,908,0,6
2020-06-05,MG,Madagascar,AFRO,49,957,1,7
2020-06-06,MG,Madagascar,AFRO,18,975,0,7
2020-06-07,MG,Madagascar,AFRO,51,1026,1,8
2020-06-08,MG,Madagascar,AFRO,26,1052,1,9
2020-06-09,MG,Madagascar,AFRO,42,1094,0,9
2020-06-10,MG,Madagascar,AFRO,44,1138,0,9
2020-06-11,MG,Madagascar,AFRO,24,1162,1,10
2020-06-12,MG,Madagascar,AFRO,41,1203,0,10
2020-06-13,MG,Madagascar,AFRO,27,1230,0,10
2020-06-14,MG,Madagascar,AFRO,22,1252,0,10
2020-06-15,MG,Madagascar,AFRO,20,1272,0,10
2020-06-16,MG,Madagascar,AFRO,18,1290,0,10
2020-06-17,MG,Madagascar,AFRO,27,1317,2,12
2020-06-18,MG,Madagascar,AFRO,61,1378,0,12
2020-06-19,MG,Madagascar,AFRO,25,1403,1,13
2020-06-20,MG,Madagascar,AFRO,40,1443,0,13
2020-06-21,MG,Madagascar,AFRO,60,1503,0,13
2020-06-22,MG,Madagascar,AFRO,93,1596,1,14
2020-06-23,MG,Madagascar,AFRO,44,1640,1,15
2020-06-24,MG,Madagascar,AFRO,0,1640,0,15
2020-06-25,MG,Madagascar,AFRO,147,1787,1,16
2020-06-26,MG,Madagascar,AFRO,42,1829,0,16
2020-06-27,MG,Madagascar,AFRO,0,1829,0,16
2020-06-28,MG,Madagascar,AFRO,176,2005,0,16
2020-06-29,MG,Madagascar,AFRO,73,2078,2,18
2020-06-30,MG,Madagascar,AFRO,60,2138,2,20
2020-07-01,MG,Madagascar,AFRO,76,2214,0,20
2020-07-02,MG,Madagascar,AFRO,89,2303,2,22
2020-07-03,MG,Madagascar,AFRO,100,2403,2,24
2020-07-04,MG,Madagascar,AFRO,109,2512,2,26
2020-07-05,MG,Madagascar,AFRO,216,2728,3,29
2020-07-06,MG,Madagascar,AFRO,213,2941,3,32
2020-07-07,MG,Madagascar,AFRO,309,3250,1,33
2020-07-08,MG,Madagascar,AFRO,222,3472,0,33
2020-07-09,MG,Madagascar,AFRO,101,3573,0,33
2020-07-10,MG,Madagascar,AFRO,209,3782,0,33
2020-07-11,MG,Madagascar,AFRO,361,4143,1,34
2020-07-12,MG,Madagascar,AFRO,435,4578,0,34
2020-07-13,MG,Madagascar,AFRO,289,4867,1,35
2020-07-14,MG,Madagascar,AFRO,213,5080,2,37
2020-07-15,MG,Madagascar,AFRO,263,5343,2,39
2020-07-16,MG,Madagascar,AFRO,262,5605,4,43
2020-07-17,MG,Madagascar,AFRO,484,6089,10,53
2020-07-18,MG,Madagascar,AFRO,378,6467,1,54
2020-07-19,MG,Madagascar,AFRO,382,6849,1,55
2020-07-20,MG,Madagascar,AFRO,200,7049,4,59
2020-07-21,MG,Madagascar,AFRO,104,7153,3,62
2020-07-22,MG,Madagascar,AFRO,395,7548,3,65
2020-07-23,MG,Madagascar,AFRO,614,8162,4,69
2020-07-24,MG,Madagascar,AFRO,219,8381,1,70
2020-07-25,MG,Madagascar,AFRO,360,8741,6,76
2020-07-26,MG,Madagascar,AFRO,125,8866,2,78
2020-07-27,MG,Madagascar,AFRO,429,9295,7,85
2020-07-28,MG,Madagascar,AFRO,395,9690,6,91
2020-07-29,MG,Madagascar,AFRO,414,10104,2,93
2020-07-30,MG,Madagascar,AFRO,213,10317,6,99
2020-07-31,MG,Madagascar,AFRO,431,10748,6,105
2020-08-01,MG,Madagascar,AFRO,120,10868,1,106
2020-08-02,MG,Madagascar,AFRO,405,11273,1,107
2020-08-03,MG,Madagascar,AFRO,255,11528,7,114
2020-08-04,MG,Madagascar,AFRO,132,11660,4,118
2020-08-05,MG,Madagascar,AFRO,235,11895,5,123
2020-08-06,MG,Madagascar,AFRO,327,12222,4,127
2020-08-07,MG,Madagascar,AFRO,304,12526,7,134
2020-08-08,MG,Madagascar,AFRO,182,12708,1,135
2020-08-09,MG,Madagascar,AFRO,214,12922,6,141
2020-08-10,MG,Madagascar,AFRO,164,13086,7,148
2020-08-11,MG,Madagascar,AFRO,116,13202,3,151
2020-08-12,MG,Madagascar,AFRO,115,13317,1,152
